date,confirmed,new_cases,smoothed_new_cases,zscore,anomaly
2021-01-08,89011116,801269.0,702681.4285714285,2.1396081418371597,True
2021-01-09,89774037,762921.0,722192.4285714285,1.9745513350666617,False
2021-01-10,90363160,589123.0,730241.2857142857,1.2264929512370217,False
2021-01-11,90983071,619911.0,739642.7142857143,1.3590101351018933,False
2021-01-12,91688568,705497.0,734698.0,1.727387934837469,False
2021-01-13,92436943,748375.0,729701.1428571428,1.9119426902537988,False
2021-01-14,93192164,755221.0,711759.5714285715,1.9414091265516717,False
2021-01-15,93959345,767181.0,706889.8571428572,1.992887154323007,False
2021-01-16,94598478,639133.0,689205.8571428572,1.4417451392674956,False
2021-01-17,95127671,529193.0,680644.4285714285,0.9685432686002231,False
2021-01-18,95642719,515048.0,665664.0,0.9076606011398941,False
2021-01-19,96251127,608408.0,651794.1428571428,1.3094991189268375,False
2021-01-20,96944046,692919.0,643871.8571428572,1.6732499220190866,False
2021-01-21,97600354,656308.0,629741.4285714285,1.5156694809876192,False
2021-01-22,98259399,659045.0,614293.4285714285,1.5274500296506748,False
2021-01-23,98827505,568106.0,604146.7142857143,1.1360319387227953,False
2021-01-24,99273148,445643.0,592211.0,0.6089287852979617,False
2021-01-25,99770467,497319.0,589678.2857142857,0.8313517420798607,False
2021-01-26,100326684,556217.0,582222.4285714285,1.084859507939066,False
2021-01-27,100924378,597694.0,568618.8571428572,1.263384103078837,False
2021-01-28,101539261,614883.0,562701.0,1.3373687033598973,False
2021-01-29,102129690,590429.0,552898.7142857143,1.232114214135798,False
2021-01-30,102645007,515317.0,545357.4285714285,0.9088184263464567,False
2021-01-31,103026638,381631.0,536212.8571428572,0.33340942796529444,False
2021-02-01,103473394,446756.0,528989.5714285715,0.6137193408924012,False
2021-02-02,103931335,457941.0,514950.14285714284,0.6618616268976172,False
2021-02-03,104453296,521961.0,504131.14285714284,0.9374154176936766,False
2021-02-04,104920189,466893.0,482989.71428571426,0.700392672433486,False
2021-02-05,105455610,535421.0,475131.4285714286,0.9953497198510488,False
2021-02-06,105827725,372115.0,454674.0,0.2924508232602756,False
2021-02-07,106225785,398060.0,457021.0,0.40412284922409575,False
2021-02-08,106541661,315876.0,438323.85714285716,0.05038787979605208,False
2021-02-09,106969683,428022.0,434049.71428571426,0.533084777993723,False
2021-02-10,107405412,435729.0,421730.85714285716,0.5662571157891811,False
2021-02-11,107846858,441446.0,418095.5714285714,0.5908641295658302,False
2021-02-12,108275525,428667.0,402845.0,0.5358609759797189,False
2021-02-13,108648810,373285.0,403012.14285714284,0.2974867172813845,False
2021-02-14,108942649,293839.0,388123.4285714286,-0.04446339930067962,False
2021-02-15,109225813,283164.0,383450.28571428574,-0.090410552014643,False
2021-02-16,109576825,351012.0,372448.85714285716,0.20161965101458298,False
2021-02-17,109972379,395554.0,366709.5714285714,0.39333656681648993,False
2021-02-18,110375568,403189.0,361244.28571428574,0.4261990034414183,False
